['London Heathrow Airport (LHR)', 'Paris Charles de Gaulle Airport (CDG)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Paris Charles de Gaulle Airport (CDG)', 'Air France']
['London Heathrow Airport (LHR)', 'Paris Charles de Gaulle Airport (CDG)', 'British Airways']
['London Heathrow Airport (LHR)', 'Paris Charles de Gaulle Airport (CDG)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Paris Charles de Gaulle Airport (CDG)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Amsterdam Airport Schiphol (AMS)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Amsterdam Airport Schiphol (AMS)', 'Air France']
['London Heathrow Airport (LHR)', 'Amsterdam Airport Schiphol (AMS)', 'British Airways']
['London Heathrow Airport (LHR)', 'Amsterdam Airport Schiphol (AMS)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Amsterdam Airport Schiphol (AMS)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Frankfurt Airport (FRA)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Frankfurt Airport (FRA)', 'Air France']
['London Heathrow Airport (LHR)', 'Frankfurt Airport (FRA)', 'British Airways']
['London Heathrow Airport (LHR)', 'Frankfurt Airport (FRA)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Frankfurt Airport (FRA)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Air France']
['London Heathrow Airport (LHR)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'British Airways']
['London Heathrow Airport (LHR)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Barcelona-El Prat Airport (BCN)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Barcelona-El Prat Airport (BCN)', 'Air France']
['London Heathrow Airport (LHR)', 'Barcelona-El Prat Airport (BCN)', 'British Airways']
['London Heathrow Airport (LHR)', 'Barcelona-El Prat Airport (BCN)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Barcelona-El Prat Airport (BCN)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Munich Airport (MUC)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Munich Airport (MUC)', 'Air France']
['London Heathrow Airport (LHR)', 'Munich Airport (MUC)', 'British Airways']
['London Heathrow Airport (LHR)', 'Munich Airport (MUC)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Munich Airport (MUC)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Air France']
['London Heathrow Airport (LHR)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'British Airways']
['London Heathrow Airport (LHR)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Zurich Airport (ZRH)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Zurich Airport (ZRH)', 'Air France']
['London Heathrow Airport (LHR)', 'Zurich Airport (ZRH)', 'British Airways']
['London Heathrow Airport (LHR)', 'Zurich Airport (ZRH)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Zurich Airport (ZRH)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Vienna International Airport (VIE)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Vienna International Airport (VIE)', 'Air France']
['London Heathrow Airport (LHR)', 'Vienna International Airport (VIE)', 'British Airways']
['London Heathrow Airport (LHR)', 'Vienna International Airport (VIE)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Vienna International Airport (VIE)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Istanbul Airport (IST)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Istanbul Airport (IST)', 'Air France']
['London Heathrow Airport (LHR)', 'Istanbul Airport (IST)', 'British Airways']
['London Heathrow Airport (LHR)', 'Istanbul Airport (IST)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Istanbul Airport (IST)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Copenhagen Airport (CPH)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Copenhagen Airport (CPH)', 'Air France']
['London Heathrow Airport (LHR)', 'Copenhagen Airport (CPH)', 'British Airways']
['London Heathrow Airport (LHR)', 'Copenhagen Airport (CPH)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Copenhagen Airport (CPH)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Oslo Gardermoen Airport (OSL)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Oslo Gardermoen Airport (OSL)', 'Air France']
['London Heathrow Airport (LHR)', 'Oslo Gardermoen Airport (OSL)', 'British Airways']
['London Heathrow Airport (LHR)', 'Oslo Gardermoen Airport (OSL)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Oslo Gardermoen Airport (OSL)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Stockholm Arlanda Airport (ARN)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Stockholm Arlanda Airport (ARN)', 'Air France']
['London Heathrow Airport (LHR)', 'Stockholm Arlanda Airport (ARN)', 'British Airways']
['London Heathrow Airport (LHR)', 'Stockholm Arlanda Airport (ARN)', 'Ryanair']
['London Heathrow Airport (LHR)', 'Stockholm Arlanda Airport (ARN)', 'KLM Royal Dutch Airlines']
['London Heathrow Airport (LHR)', 'Dublin Airport (DUB)', 'Lufthansa']
['London Heathrow Airport (LHR)', 'Dublin Airport (DUB)', 'Air France']
['London Heathrow Airport (LHR)', 'Dublin Airport (DUB)', 'British Airways']
