['Indira Gandhi International Airport (DEL)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'IndiGo']
['Indira Gandhi International Airport (DEL)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'Vistara']
['Indira Gandhi International Airport (DEL)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'SpiceJet']
['Indira Gandhi International Airport (DEL)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'Go First']
['Indira Gandhi International Airport (DEL)', 'Kempegowda International Airport (BLR)', 'IndiGo']
['Indira Gandhi International Airport (DEL)', 'Kempegowda International Airport (BLR)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Kempegowda International Airport (BLR)', 'Vistara']
['Indira Gandhi International Airport (DEL)', 'Kempegowda International Airport (BLR)', 'SpiceJet']
['Indira Gandhi International Airport (DEL)', 'Kempegowda International Airport (BLR)', 'Go First']
['Indira Gandhi International Airport (DEL)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'IndiGo']
['Indira Gandhi International Airport (DEL)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'Vistara']
['Indira Gandhi International Airport (DEL)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'SpiceJet']
['Indira Gandhi International Airport (DEL)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'Go First']
['Indira Gandhi International Airport (DEL)', 'Rajiv Gandhi International Airport (HYD)', 'IndiGo']
['Indira Gandhi International Airport (DEL)', 'Rajiv Gandhi International Airport (HYD)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Rajiv Gandhi International Airport (HYD)', 'Vistara']
['Indira Gandhi International Airport (DEL)', 'Rajiv Gandhi International Airport (HYD)', 'SpiceJet']
['Indira Gandhi International Airport (DEL)', 'Rajiv Gandhi International Airport (HYD)', 'Go First']
['Indira Gandhi International Airport (DEL)', 'Chennai International Airport (MAA)', 'IndiGo']
['Indira Gandhi International Airport (DEL)', 'Chennai International Airport (MAA)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Chennai International Airport (MAA)', 'Vistara']
['Indira Gandhi International Airport (DEL)', 'Chennai International Airport (MAA)', 'SpiceJet']
['Indira Gandhi International Airport (DEL)', 'Chennai International Airport (MAA)', 'Go First']
['Indira Gandhi International Airport (DEL)', 'Sardar Vallabhbhai Patel International Airport (AMD)', 'IndiGo']
['Indira Gandhi International Airport (DEL)', 'Sardar Vallabhbhai Patel International Airport (AMD)', 'Air India']
['Indira Gandhi International Airport (DEL)', 'Sardar Vallabhbhai Patel International Airport (AMD)', 'Vistara']
