['Moscow Sheremetyevo International Airport (SVO)', 'Moscow Domodedovo Airport (DME)', 'Aeroflot']
['Moscow Sheremetyevo International Airport (SVO)', 'Moscow Domodedovo Airport (DME)', 'S7 Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Moscow Domodedovo Airport (DME)', 'Ural Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Moscow Domodedovo Airport (DME)', 'Rossiya Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Saint Petersburg Pulkovo Airport (LED)', 'Aeroflot']
['Moscow Sheremetyevo International Airport (SVO)', 'Saint Petersburg Pulkovo Airport (LED)', 'S7 Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Saint Petersburg Pulkovo Airport (LED)', 'Ural Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Saint Petersburg Pulkovo Airport (LED)', 'Rossiya Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Kazan International Airport (KZN)', 'Aeroflot']
['Moscow Sheremetyevo International Airport (SVO)', 'Kazan International Airport (KZN)', 'S7 Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Kazan International Airport (KZN)', 'Ural Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Kazan International Airport (KZN)', 'Rossiya Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Aeroflot']
['Moscow Sheremetyevo International Airport (SVO)', 'Novosibirsk Tolmachevo Airport (OVB)', 'S7 Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Ural Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Rossiya Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Aeroflot']
['Moscow Sheremetyevo International Airport (SVO)', 'Yekaterinburg Koltsovo Airport (SVX)', 'S7 Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Ural Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Rossiya Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Sochi International Airport (AER)', 'Aeroflot']
['Moscow Sheremetyevo International Airport (SVO)', 'Sochi International Airport (AER)', 'S7 Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Sochi International Airport (AER)', 'Ural Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Sochi International Airport (AER)', 'Rossiya Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Vladivostok International Airport (VVO)', 'Aeroflot']
['Moscow Sheremetyevo International Airport (SVO)', 'Vladivostok International Airport (VVO)', 'S7 Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Vladivostok International Airport (VVO)', 'Ural Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Vladivostok International Airport (VVO)', 'Rossiya Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Rostov-on-Don Platov International Airport (ROV)', 'Aeroflot']
['Moscow Sheremetyevo International Airport (SVO)', 'Rostov-on-Don Platov International Airport (ROV)', 'S7 Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Rostov-on-Don Platov International Airport (ROV)', 'Ural Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Rostov-on-Don Platov International Airport (ROV)', 'Rossiya Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Ufa International Airport (UFA)', 'Aeroflot']
['Moscow Sheremetyevo International Airport (SVO)', 'Ufa International Airport (UFA)', 'S7 Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Ufa International Airport (UFA)', 'Ural Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Ufa International Airport (UFA)', 'Rossiya Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Krasnoyarsk International Airport (KJA)', 'Aeroflot']
['Moscow Sheremetyevo International Airport (SVO)', 'Krasnoyarsk International Airport (KJA)', 'S7 Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Krasnoyarsk International Airport (KJA)', 'Ural Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Krasnoyarsk International Airport (KJA)', 'Rossiya Airlines']
['Moscow Sheremetyevo International Airport (SVO)', 'Samara Kurumoch International Airport (KUF)', 'Aeroflot']
